Configuration,Sampler,Dataset,Full Dataset,Method,Conditional,Time (seconds),BPD,FID,Inception
ve,euler-maruyama,mnist,yes,generate,yes,4.4,1.05894,178.36807,1.14765
ve,exponential,mnist,yes,generate,yes,3.94,1.05894,209.29418,1.22352
ve,ode,mnist,yes,generate,yes,3.63,1.23723,191.95969,1.00332
ve,predictor-corrector,mnist,yes,generate,yes,7.83,1.0326,186.65867,1.12985
ve,euler-maruyama,mnist,yes,generate,no,2.01,1.05894,136.60354,1.44729
ve,exponential,mnist,yes,generate,no,2.09,1.05894,148.38107,1.35878
ve,ode,mnist,yes,generate,no,1.94,1.23723,292.27062,1.00617
ve,predictor-corrector,mnist,yes,generate,no,4.31,1.0326,137.85363,1.27803
ve,euler-maruyama,mnist,yes,imputation,yes,3.64,1.05894,286.74578,1.55484
ve,exponential,mnist,yes,imputation,yes,3.69,1.05894,240.49838,1.40251
ve,ode,mnist,yes,imputation,yes,3.64,1.23723,244.93267,1.30788
ve,predictor-corrector,mnist,yes,imputation,yes,24.0,1.0326,298.18208,1.30421
ve,euler-maruyama,mnist,yes,imputation,no,6.42,1.05894,306.10232,1.36292
ve,exponential,mnist,yes,imputation,no,6.57,1.05894,248.05114,1.38777
ve,ode,mnist,yes,imputation,no,5.88,1.23723,225.67548,1.40655
ve,predictor-corrector,mnist,yes,imputation,no,13.73,1.0326,317.28612,1.4318
ve,euler-maruyama,cifar10,yes,generate,yes,3.64,0.04346,233.69821,1.40673
ve,exponential,cifar10,yes,generate,yes,3.87,0.04346,282.05748,1.46733
ve,ode,cifar10,yes,generate,yes,3.68,0.05131,408.33656,1.00045
ve,predictor-corrector,cifar10,yes,generate,yes,7.57,0.04195,222.08054,1.40017
ve,euler-maruyama,cifar10,yes,generate,no,2.09,0.04346,240.34489,1.26761
ve,exponential,cifar10,yes,generate,no,2.04,0.04346,250.2414,1.30601
ve,ode,cifar10,yes,generate,no,1.97,0.05131,430.69558,1.00006
ve,predictor-corrector,cifar10,yes,generate,no,4.19,0.04195,239.60384,1.24994
ve,euler-maruyama,cifar10,yes,colorize,yes,4.03,0.04346,193.38832,1.39232
ve,exponential,cifar10,yes,colorize,yes,4.38,0.04346,192.45786,1.39051
ve,ode,cifar10,yes,colorize,yes,4.1,0.05131,175.30922,1.52886
ve,predictor-corrector,cifar10,yes,colorize,yes,8.14,0.04195,197.24849,1.44014
ve,euler-maruyama,cifar10,yes,colorize,no,2.35,0.04346,194.94775,1.39323
ve,exponential,cifar10,yes,colorize,no,2.55,0.04346,194.19312,1.39144
ve,ode,cifar10,yes,colorize,no,2.39,0.05131,173.75913,1.52193
ve,predictor-corrector,cifar10,yes,colorize,no,4.75,0.04195,198.09016,1.42032
ve,euler-maruyama,cifar10,yes,imputation,yes,3.99,0.04346,160.77599,1.57971
ve,exponential,cifar10,yes,imputation,yes,3.89,0.04346,175.11949,1.59288
ve,ode,cifar10,yes,imputation,yes,3.56,0.05131,163.86393,1.5555
ve,predictor-corrector,cifar10,yes,imputation,yes,7.83,0.04195,158.74365,1.56664
ve,euler-maruyama,cifar10,yes,imputation,no,2.99,0.04346,153.83673,1.55757
ve,exponential,cifar10,yes,imputation,no,3.01,0.04346,160.92917,1.56586
ve,ode,cifar10,yes,imputation,no,2.83,0.05131,164.92148,1.56631
ve,predictor-corrector,cifar10,yes,imputation,no,6.08,0.04195,155.51402,1.60345
vp-lin,euler-maruyama,mnist,yes,generate,yes,4.6,1.33898,157.32195,1.20002
vp-lin,exponential,mnist,yes,generate,yes,4.69,1.33898,144.31418,1.19216
vp-lin,ode,mnist,yes,generate,yes,4.36,1.84753,220.68504,1.00017
vp-lin,predictor-corrector,mnist,yes,generate,yes,9.3,1.34769,158.15242,1.14223
vp-lin,euler-maruyama,mnist,yes,generate,no,2.63,1.33898,108.8496,1.36853
vp-lin,exponential,mnist,yes,generate,no,2.71,1.33898,126.03465,1.41152
vp-lin,ode,mnist,yes,generate,no,3.38,1.84753,292.41703,1.03043
vp-lin,predictor-corrector,mnist,yes,generate,no,5.88,1.34769,112.78947,1.31432
vp-lin,euler-maruyama,mnist,yes,imputation,yes,4.83,1.33898,173.28218,1.33646
vp-lin,exponential,mnist,yes,imputation,yes,4.85,1.33898,180.36778,1.34016
vp-lin,ode,mnist,yes,imputation,yes,4.59,1.84753,155.21344,1.31166
vp-lin,predictor-corrector,mnist,yes,imputation,yes,9.39,1.34769,178.94586,1.29256
vp-lin,euler-maruyama,mnist,yes,imputation,no,1.95,1.33898,199.30597,1.44394
vp-lin,exponential,mnist,yes,imputation,no,1.94,1.33898,220.04604,1.49458
vp-lin,ode,mnist,yes,imputation,no,1.8,1.84753,178.60626,1.44255
vp-lin,predictor-corrector,mnist,yes,imputation,no,3.86,1.34769,208.36679,1.40854
vp-lin,euler-maruyama,cifar10,yes,generate,yes,3.24,0.04441,249.48396,1.48121
vp-lin,exponential,cifar10,yes,generate,yes,3.28,0.04441,237.09172,1.34443
vp-lin,ode,cifar10,yes,generate,yes,3.39,0.06073,425.11892,1.01896
vp-lin,predictor-corrector,cifar10,yes,generate,yes,7.3,0.04392,244.38741,1.51985
vp-lin,euler-maruyama,cifar10,yes,generate,no,1.84,0.04441,215.4853,1.40876
vp-lin,exponential,cifar10,yes,generate,no,1.99,0.04441,283.68343,1.05965
vp-lin,ode,cifar10,yes,generate,no,1.88,0.06073,399.75171,1.02461
vp-lin,predictor-corrector,cifar10,yes,generate,no,3.82,0.04392,208.4664,1.42302
vp-lin,euler-maruyama,cifar10,yes,colorize,yes,3.63,0.04441,163.83663,1.51802
vp-lin,exponential,cifar10,yes,colorize,yes,3.62,0.04441,163.4328,1.51781
vp-lin,ode,cifar10,yes,colorize,yes,3.6,0.06073,167.18517,1.47428
vp-lin,predictor-corrector,cifar10,yes,colorize,yes,7.18,0.04392,169.84598,1.55492
vp-lin,euler-maruyama,cifar10,yes,colorize,no,2.25,0.04441,165.6309,1.51938
vp-lin,exponential,cifar10,yes,colorize,no,2.5,0.04441,165.1915,1.51944
vp-lin,ode,cifar10,yes,colorize,no,2.17,0.06073,169.11349,1.51927
vp-lin,predictor-corrector,cifar10,yes,colorize,no,4.34,0.04392,170.99656,1.5548
vp-lin,euler-maruyama,cifar10,yes,imputation,yes,3.24,0.04441,201.2792,1.68167
vp-lin,exponential,cifar10,yes,imputation,yes,3.35,0.04441,157.22254,1.51202
vp-lin,ode,cifar10,yes,imputation,yes,3.26,0.06073,195.84693,1.57683
vp-lin,predictor-corrector,cifar10,yes,imputation,yes,7.12,0.04392,184.93121,1.65653
vp-lin,euler-maruyama,cifar10,yes,imputation,no,1.96,0.04441,188.08764,1.69547
vp-lin,exponential,cifar10,yes,imputation,no,1.89,0.04441,157.51626,1.57896
vp-lin,ode,cifar10,yes,imputation,no,1.83,0.06073,194.99788,1.58335
vp-lin,predictor-corrector,cifar10,yes,imputation,no,4.1,0.04392,182.24169,1.5902
vp-cos,euler-maruyama,mnist,yes,generate,yes,3.51,5.3626,148.53555,1.15523
vp-cos,exponential,mnist,yes,generate,yes,3.84,5.3626,152.49224,1.14766
vp-cos,ode,mnist,yes,generate,yes,3.66,6.27654,199.76254,1.00734
vp-cos,predictor-corrector,mnist,yes,generate,yes,7.59,5.22634,145.80751,1.16325
vp-cos,euler-maruyama,mnist,yes,generate,no,2.02,5.3626,105.72936,1.42817
vp-cos,exponential,mnist,yes,generate,no,2.12,5.3626,121.87568,1.35324
vp-cos,ode,mnist,yes,generate,no,2.03,6.27654,267.72031,1.07607
vp-cos,predictor-corrector,mnist,yes,generate,no,4.24,5.22634,111.33486,1.31468
vp-cos,euler-maruyama,mnist,yes,imputation,yes,3.63,5.3626,335.67973,1.38396
vp-cos,exponential,mnist,yes,imputation,yes,3.7,5.3626,314.72842,1.36174
vp-cos,ode,mnist,yes,imputation,yes,3.48,6.27654,332.08251,1.25489
vp-cos,predictor-corrector,mnist,yes,imputation,yes,7.58,5.22634,329.66966,1.35923
vp-cos,euler-maruyama,mnist,yes,imputation,no,2.22,5.3626,360.10781,1.3991
vp-cos,exponential,mnist,yes,imputation,no,2.42,5.3626,347.5686,1.39942
vp-cos,ode,mnist,yes,imputation,no,1.93,6.27654,379.45309,1.30077
vp-cos,predictor-corrector,mnist,yes,imputation,no,4.21,5.22634,353.28505,1.32535
vp-cos,euler-maruyama,cifar10,yes,generate,yes,3.52,0.08328,241.40572,1.51461
vp-cos,exponential,cifar10,yes,generate,yes,3.7,0.08328,233.54269,1.39594
vp-cos,ode,cifar10,yes,generate,yes,3.48,0.0978,416.99321,1.00747
vp-cos,predictor-corrector,cifar10,yes,generate,yes,7.43,0.0796,244.67978,1.60116
vp-cos,euler-maruyama,cifar10,yes,generate,no,2.37,0.08328,223.01626,1.42277
vp-cos,exponential,cifar10,yes,generate,no,2.38,0.08328,257.59989,1.19675
vp-cos,ode,cifar10,yes,generate,no,2.56,0.0978,407.91933,1.00414
vp-cos,predictor-corrector,cifar10,yes,generate,no,4.49,0.0796,226.84984,1.47429
vp-cos,euler-maruyama,cifar10,yes,colorize,yes,4.35,0.08328,171.91384,1.51534
vp-cos,exponential,cifar10,yes,colorize,yes,4.78,0.08328,170.58923,1.508
vp-cos,ode,cifar10,yes,colorize,yes,4.23,0.0978,166.17195,1.45098
vp-cos,predictor-corrector,cifar10,yes,colorize,yes,8.57,0.0796,174.45213,1.54554
vp-cos,euler-maruyama,cifar10,yes,colorize,no,2.61,0.08328,170.62343,1.5152
vp-cos,exponential,cifar10,yes,colorize,no,2.79,0.08328,169.36896,1.50864
vp-cos,ode,cifar10,yes,colorize,no,2.64,0.0978,165.93054,1.51494
vp-cos,predictor-corrector,cifar10,yes,colorize,no,4.92,0.0796,173.44751,1.54539
vp-cos,euler-maruyama,cifar10,yes,imputation,yes,3.87,0.08328,183.48723,1.64633
vp-cos,exponential,cifar10,yes,imputation,yes,4.08,0.08328,157.00648,1.62348
vp-cos,ode,cifar10,yes,imputation,yes,3.88,0.0978,181.98185,1.53347
vp-cos,predictor-corrector,cifar10,yes,imputation,yes,8.0,0.0796,180.22002,1.64953
vp-cos,euler-maruyama,cifar10,yes,imputation,no,2.35,0.08328,172.45171,1.65656
vp-cos,exponential,cifar10,yes,imputation,no,2.4,0.08328,144.86986,1.57286
vp-cos,ode,cifar10,yes,imputation,no,2.25,0.0978,180.98859,1.55558
vp-cos,predictor-corrector,cifar10,yes,imputation,no,4.53,0.0796,174.25455,1.62193
svp-lin,euler-maruyama,mnist,yes,generate,yes,3.52,1.35545,357.39779,1.17093
svp-lin,exponential,mnist,yes,generate,yes,3.61,1.35545,350.72603,1.13747
svp-lin,ode,mnist,yes,generate,yes,3.39,1.86377,205.53322,1.00049
svp-lin,predictor-corrector,mnist,yes,generate,yes,7.11,1.36243,360.25346,1.24423
svp-lin,euler-maruyama,mnist,yes,generate,no,2.02,1.35545,348.68091,1.29204
svp-lin,exponential,mnist,yes,generate,no,2.11,1.35545,358.08722,1.14306
svp-lin,ode,mnist,yes,generate,no,2.07,1.86377,272.59995,1.00686
svp-lin,predictor-corrector,mnist,yes,generate,no,4.3,1.36243,346.88595,1.14974
svp-lin,euler-maruyama,mnist,yes,imputation,yes,3.48,1.35545,302.87688,1.25568
svp-lin,exponential,mnist,yes,imputation,yes,3.59,1.35545,312.90162,1.23047
svp-lin,ode,mnist,yes,imputation,yes,3.56,1.86377,237.76859,1.28718
svp-lin,predictor-corrector,mnist,yes,imputation,yes,7.35,1.36243,292.22111,1.17313
svp-lin,euler-maruyama,mnist,yes,imputation,no,2.06,1.35545,285.42166,1.26392
svp-lin,exponential,mnist,yes,imputation,no,2.2,1.35545,291.5372,1.24068
